Area,OOP,GIDE,RDP,GIDE1:1,FOP
0.02,17.26464725,17.12146279,17.12146279,16.53006814,16.42750022
0.04,17.99262058,17.64528223,17.64528223,16.85616092,16.63326093
0.06,18.46305829,17.84488351,17.84077722,17.16109739,16.7139584
0.08,18.70238343,18.09242122,18.09242122,17.45514327,16.77135716
0.1,18.83092808,18.40557027,18.39467968,17.74097658,16.81375904
0.12,18.84431815,18.5697325,18.55875264,17.92147469,16.82643497
0.14,18.84431815,18.65587526,18.64489541,18.16624513,16.82643497
0.16,18.84431815,18.72693189,18.7160413,18.41512185,16.82643497
0.18,18.84431815,18.76388848,18.76388848,18.58339037,16.82643497
0.2,18.84431815,18.78754426,18.77852828,18.67810278,16.82643497
